NAME,DATEEST,area_ha,Y2018_loss_ha,Y2019_loss_ha,Y2020_loss_ha,Y2021_loss_ha,Y2023_loss_ha,Y2024_loss_ha,Y2014_loss_ha,Y2015_loss_ha,Y2016_loss_ha,Y2017_loss_ha,Y2022_loss_ha
Banki,2020-02-14,198.6308909292793,1.2048041463643313,0.23517374753952025,0.12596972493454814,0.25576828479766844,0.2537282958626747,0.1628124837577343,0,0,0,0,0
Chapalakata,2017-03-01,351.98533233577905,0,0.031184759438037873,0.05270549833774566,0,0.050858849734067915,0.8266352292895317,1.4542098860442638,0.27,0.32691497302846984,0,0
Chiawa,2021-05-13,68218.74954046961,537.8305323024932,505.61315814614295,262.5869633866471,179.57634247078153,305.70884349217636,264.50278407387435,50.197353120390325,76.91729689937084,67.54518027822486,530.8474014209921,146.99530575960873
Chinakila,2019-02-07,7574.019617462653,4.68,35.16101249378175,10.457003155446436,32.32491802451201,19.34449064054992,15.026384816765784,1.7695636088121682,5.58,7.772235262691974,7.827092361202363,43.80161635399796
Filamba,2017-03-01,614.840210566113,7.750701052397489,0.19435960561037063,5.034520658701658,8.779525213167071,17.640724503546952,19.66530852811702,8.370027767173305,10.476915575726888,5.954549959301948,3.78,7.368704372607171
Kabulwebulwe,2022-06-01,1813.9137637344443,88.53415072895586,47.02887381361448,62.942363258502446,52.158439497841755,4.05,4.220519354045391,38.11828737229225,17.327356690764425,114.12650338598526,66.25591675065458,20.07354234643266
Kabyolwe,2019-02-01,279.9722205926895,0,0,0,0.27,0,0,0.09,0,0.18330353870987892,0,0.13051526069641112
Kafwaya,2017-03-01,426.7173061256761,0,0,0,0,0,0,0.54,2.469089334849268,1.9118378859758376,0.003912446172907948,0
Kalongola,2019-02-01,2805.287315157843,16.504442605376244,6.01152889251709,3.42,17.953846943825482,17.099999999999998,19.41597389632836,3.4126861256361005,3.7691845446825027,12.34149366930127,12.508625220358372,14.509238642610143
Kaluzya,2022-06-01,4118.170614639972,11.040808124542236,28.526460043236145,28.877377321593613,16.52551933944225,4.68,21.043335767984388,24.43962203018367,5.58,4.68,10.44,11.246935597658156
Katele,2019-02-01,5492.032647566522,0,0.63,4.176643742602319,1.44,0,0.18,6.39,0.8099999999999999,1.3499999999999999,2.79,2.16
